province_code,Q229NETINCOME,Ageofhead,Q61035POLICE,Q61038LIGHT,Q224ANOMONEY,income,Total_IOPBV,Total_number_of_convictions,Q531FOOD,Q531PUBTRAN,Q531PREPRIM,Q531PRIM,Q531SECOND,Q531CLINIC,Q531HOSPITAL,Q531POLICE,Q531RELIG,Q531BANK,Q531POSTOFF,Q531WELFARE,Q531MULTI,Q653AREA,Q658VALUE
1.0,40000.0,50.0,1,1,1.0,298.912934,0,0,66,393,123,167,369,134,304,417,298,57,60,86,64,-777,-777
2.0,300.0,31.0,2,1,1.0,608.659075,0,0,110,205,133,453,447,502,4185,3854,3989,2084,4089,2856,1573,-777,-777
9.0,18600.0,49.0,2,1,1.0,1846.520084,0,0,334,325,107,97,977,12680,13023,16617,309,16142,16867,14903,16157,-777,-777
5.0,2000.0,59.0,2,2,1.0,3121.530255,0,0,541,726,760,807,18123,10476,14546,11720,14784,17732,19559,16751,15693,52,23349
3.0,2000.0,34.0,1,1,1.0,1674.610399,0,0,299,143,118,159,420,200,222,870,251,74,696,-666,190,20,8256
8.0,320.0,26.0,2,2,1.0,689.880626,0,0,9175,799,672,615,790,8209,10893,16967,437,8159,6920,5434,7875,28,2201
7.0,1000.0,25.0,1,1,1.0,1384.696925,0,0,342,426,375,221,350,765,937,453,178,508,532,715,140,-777,-777
6.0,2000.0,32.0,1,1,2.0,697.15179,0,0,87,920,811,825,720,1871,6908,3298,536,9209,9918,9581,9326,-777,-777
9.0,800.0,39.0,3,2,1.0,348.770339,1,0,663,870,700,906,938,645,1126,1265,603,1964,1615,1312,1907,64,2647
3.0,5000.0,34.0,1,1,1.0,350.115939,0,1,612,888,596,765,28309,539,27160,687,769,27838,22184,21637,22834,17,1429
8.0,250.0,62.0,2,2,1.0,351.392197,0,0,755,956,642,819,666,610,19106,7998,769,7574,9286,14879,12550,45,3871
6.0,6000.0,32.0,2,2,1.0,351.392197,0,0,817,765,853,545,3166,22931,24120,21141,1460,28810,22189,29553,-666,42,2466
9.0,1600.0,33.0,2,2,2.0,1054.176592,0,0,360,194,15,489,350,446,16888,17933,69,14970,15762,12854,13112,66,15858
8.0,2500.0,40.0,1,2,1.0,352.677795,0,0,317,403,1786,1931,4983,16512,3060,19811,17598,16069,11432,10890,-777,1,2493
6.0,1500.0,50.0,2,2,2.0,352.677795,1,0,525,963,152,172,1746,2749,13631,19760,4951,16815,2782,25328,22469,9,61
9.0,1000.0,24.0,2,2,1.0,352.677795,0,0,330,439,99,9,418,284,29010,795,44,26767,24672,874,501,108,3958
6.0,5000.0,21.0,2,2,2.0,1061.9185,0,0,20852,295,213,404,231,1,23158,-999,463,26991,25322,27478,908,113,17785
1.0,3000.0,31.0,2,1,1.0,353.972833,0,0,947,87,636,901,950,1029,3382,1077,406,4232,2272,3314,783,25,2257
8.0,1000.0,59.0,2,2,1.0,353.972833,1,0,475,337,659,658,991,1853,15929,2655,28,2210,14601,3971,3344,26,3863
4.0,3000.0,29.0,2,2,1.0,353.972833,0,0,9490,7412,7006,305,268,118,9928,6291,265,7116,5838,7340,-777,10,3824
4.0,300.0,49.0,1,1,1.0,355.355991,0,0,469,617,85,17,1243,1525,9427,1498,230,7459,861,8668,992,4,115
2.0,6000.0,59.0,2,2,1.0,1780.324617,0,0,22,456,180,359,21,447,22554,20422,254,22982,28921,24835,23045,-777,-777
7.0,5000.0,33.0,2,2,2.0,356.75,0,0,371,276,201,4851,3492,468,3890,1904,81,231,180,277,-666,36,31
5.0,350.0,28.0,2,2,1.0,1070.25,0,0,1362,329,1334,1617,1197,1698,1186,1410,394,4995,4319,2721,4767,10,11986
2.0,1500.0,58.0,2,2,1.0,356.75,2,0,631,509,3938,4949,4927,3211,17185,7989,3539,13389,16363,12160,4590,2,3138
1.0,3500.0,41.0,2,1,1.0,1070.25,0,0,45,319,921,1124,1975,2626,3182,3108,1190,3832,2736,2223,3954,59,16345
7.0,0.0,46.0,1,1,2.0,359.519876,0,0,6589,795,704,817,664,638,9910,2388,922,9350,5743,5602,5121,9,2741
8.0,1000.0,60.0,1,2,2.0,359.519876,0,0,845,8623,4059,3275,7963,9793,27911,4879,23,24641,3410,4556,3056,19,4680
1.0,500.0,55.0,1,2,1.0,359.519876,3,1,1909,1891,1053,1818,1896,1724,24639,1109,1910,1354,1295,1575,1229,26,3496
6.0,3000.0,51.0,1,1,2.0,2160.762859,1,0,662,538,1498,1624,1216,1068,4624,6144,9257,7259,5246,5248,9720,-777,-777
3.0,2000.0,25.0,1,2,1.0,362.281096,1,0,323,122,619,621,957,3644,8922,2877,953,8695,5881,7283,6147,29,2479
9.0,5000.0,54.0,1,2,2.0,365.185986,0,0,20,493,318,256,171,1236,20489,18257,436,27175,205,10181,133,233,388
5.0,800.0,47.0,2,2,1.0,1166.320999,0,0,240,470,26687,1545,3636,3537,23308,27688,794,27033,26635,26858,24633,49,8925
5.0,3000.0,36.0,2,2,1.0,2730.25,0,0,714,593,1028,4486,6983,20137,28223,25932,21609,22012,29679,20584,27540,104,10212
5.0,100.0,55.0,1,2,1.0,400.0,0,0,447,1761,1955,1941,1947,4680,4479,4212,927,2152,2086,3777,3186,-777,-777
1.0,1700.0,41.0,1,1,1.0,404.032088,0,0,90,134,448,407,450,623,840,593,405,1889,466,1804,125,-777,-777
2.0,300.0,48.0,1,1,1.0,407.691105,2,0,408,437,304,478,870,399,16969,169,447,221,14556,10207,-777,-777,-777
9.0,2000.0,19.0,2,2,2.0,2497.25,0,0,748,816,703,885,885,4193,15587,5402,860,730,4606,6295,-666,74,20730
8.0,4000.0,37.0,2,2,1.0,1738.088095,0,0,848,817,909,746,759,884,26432,27597,654,29440,773,674,598,37,6797
5.0,150.0,21.0,2,1,1.0,1320.0,1,0,820,401,950,610,708,1490,1350,1679,556,1786,1389,1789,1539,-777,-777
5.0,6000.0,43.0,2,2,1.0,4123.709533,0,0,29287,1323,7361,5785,9638,21921,26644,8563,21523,23253,6639,5913,6738,38,3588
8.0,1000.0,37.0,2,2,1.0,2346.090482,3,0,3823,1222,941,964,2681,3848,7289,5552,1704,5442,13221,18079,3641,6,12057
4.0,1500.0,30.0,1,1,1.0,942.192686,0,0,168,461,197,271,1649,3764,6848,4762,309,5859,3913,4585,2848,-777,-777
4.0,3000.0,39.0,2,2,1.0,2355.895756,0,0,795,525,1877,1325,1076,1172,6174,1873,813,1896,1564,1117,1933,-777,-777
5.0,1200.0,55.0,1,1,1.0,6640.461787,0,0,2698,62,1678,1291,1036,2072,14665,1831,306,16097,14258,17677,14191,42,20708
8.0,4000.0,44.0,2,2,1.0,1460.781779,0,0,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-777,-777
2.0,1500.0,34.0,1,1,1.0,492.617948,0,0,127,743,629,1825,1130,3495,5386,4525,373,9023,4559,2768,9851,-777,-777
9.0,3000.0,43.0,2,2,1.0,2468.744562,0,0,134,595,779,575,323,434,11887,15276,460,18439,343,773,1162,53,47688
7.0,5000.0,49.0,2,2,1.0,2967.207696,0,0,956,480,740,550,715,558,11806,711,88,1892,1022,1576,-666,-777,-777
8.0,3000.0,50.0,1,2,1.0,2487.491935,0,0,415,91,818,834,528,1387,6267,8101,36,5768,6417,5203,3211,85,46015
1.0,500.0,35.0,2,1,2.0,1494.56467,0,0,1074,274,376,321,89,57,2529,1508,98,1940,1929,1014,31,-777,-777
9.0,500.0,31.0,1,2,2.0,498.188223,0,0,380,254,458,484,344,310,37,9,193,817,177,443,-666,-777,-777
6.0,5000.0,53.0,1,2,1.0,2497.25,0,0,836,909,918,781,912,735,23797,6294,854,25432,668,9204,879,53,47070
5.0,2500.0,46.0,2,2,1.0,505.040111,1,0,26072,11107,9385,6613,7750,14018,10453,15186,3560,29893,11621,13271,10030,-777,-777
9.0,1000.0,23.0,1,2,1.0,512.061242,0,0,847,791,947,702,1054,1065,-999,928,502,680,644,606,1988,-777,-777
8.0,2000.0,35.0,2,2,2.0,3102.846056,0,0,52,800,1113,1249,1590,1610,18393,18258,1293,10228,-666,13154,14449,15,16705
9.0,2400.0,26.0,1,2,2.0,2070.25,0,0,1267,945,4628,3249,1111,4464,24381,1896,3131,4992,4553,2359,2857,8,13125
7.0,1000.0,32.0,2,1,2.0,1042.586147,0,0,7135,1806,6,651,587,204,9153,3402,809,5893,2005,6682,7333,53,-666
9.0,500.0,27.0,1,2,1.0,523.155508,0,0,806,650,719,802,809,1282,2560,2818,637,4368,3248,4123,3004,82,8877
1.0,1500.0,59.0,1,1,1.0,525.173908,1,0,4630,4934,3784,2954,3424,4764,4575,4072,2023,2632,2905,4252,4007,10,9264
9.0,1500.0,43.0,2,2,2.0,527.088296,1,0,490,104,885,352,437,957,15850,17343,943,12407,15236,14026,12610,86,9340
8.0,2500.0,61.0,1,1,2.0,530.95925,0,0,667,877,2909,4456,4647,2491,2337,4348,2683,4031,2376,-666,-666,43,8694
1.0,1500.0,31.0,2,1,2.0,1594.202314,0,0,1461,125,122,27,298,82,1929,1833,475,1481,1555,1545,84,-777,-777
9.0,3000.0,37.0,1,2,2.0,533.033986,0,0,7398,210,16,184,1638,3183,4710,4320,421,3310,2577,14037,27108,65,9836
2.0,5000.0,48.0,2,2,1.0,535.125,2,0,179,9,909,859,2101,4312,19438,6530,718,13904,16536,15624,-666,18,7657
5.0,500.0,56.0,2,2,1.0,535.125,0,0,1595,540,1782,1388,1910,2154,2526,4952,27,5804,8824,7099,9178,54,8096
8.0,0.0,28.0,2,2,9.0,1070.25,0,0,769,416,724,938,787,1896,1588,590,800,23123,29057,22033,-666,7,15764
3.0,0.0,26.0,2,2,1.0,1070.25,0,0,492,160,463,109,411,124,24541,26970,488,21964,26929,20580,22208,52,16453
